"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comtabagis.0","escol4.0","escol4.1","fxet3.1","hiv3.0","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"26",26,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=3",42,1.56319667485358,0.177215189873418,0.0710659898477157,40,1.57097288676236,0.175438596491228,0.0676818950930626
"28",28,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=3",37,1.74531087876127,0.197860962566845,0.0626057529610829,37,1.88248966942149,0.210227272727273,0.0626057529610829
"31",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=3",51,1.24616529540662,0.141274238227147,0.0862944162436548,51,1.26155198392767,0.140883977900552,0.0862944162436548
"32",32,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=3",41,1.57242050616483,0.178260869565217,0.0693739424703892,39,1.60195996663887,0.178899082568807,0.065989847715736
"78",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,"encerra2=3",44,1.10261194029851,0.125,0.0744500846023689,45,1.1512987012987,0.128571428571429,0.0761421319796954
