"","ID","alcool.0","alcool.1","bilateral.0","bilateral.1","cavitacao.0","cavitacao.1","comdiab.0","comdiab.1","comdrogas.0","comdrogas.1","comtabagis.0","comtabagis.1","escol4.0","escol4.1","fxet3.1","hiv3.0","hiv3.2","mumigual.0","mumigual.1","pdres5.1","ppl.0","raca3.0","raca3.1","sexo2.0","sexo2.1","tipores3.0","tipores3.1","Desfechos","count.x","lift.x","confidence.x","support.x","count.y","lift.y","confidence.y","support.y"
"23",23,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,"encerra2=0",23,1.17688311688312,0.766666666666667,0.038917089678511,28,1.14972556103662,0.756756756756757,0.0473773265651438
"24",24,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"encerra2=0",24,1.22805194805195,0.8,0.0406091370558376,29,1.15945068326343,0.763157894736842,0.0490693739424704
"25",25,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,"encerra2=0",23,1.21746529332736,0.793103448275862,0.038917089678511,28,1.14972556103662,0.756756756756757,0.0473773265651438
"26",26,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"encerra2=0",33,1.20612244897959,0.785714285714286,0.0558375634517767,36,1.13946015424165,0.75,0.0609137055837563
"27",27,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,"encerra2=0",61,1.15603655603656,0.753086419753086,0.10321489001692,66,1.13946015424165,0.75,0.111675126903553
"28",28,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,"encerra2=0",62,1.16065885334178,0.75609756097561,0.104906937394247,67,1.14372779526877,0.752808988764045,0.11336717428088
"29",29,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",28,1.34318181818182,0.875,0.0473773265651438,25,1.22522597230284,0.806451612903226,0.0423011844331641
"30",30,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",28,1.38651026392962,0.903225806451613,0.0473773265651438,25,1.26606683804627,0.833333333333333,0.0423011844331641
"31",31,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",27,1.38155844155844,0.9,0.0456852791878173,25,1.26606683804627,0.833333333333333,0.0423011844331641
"32",32,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"encerra2=0",27,1.38155844155844,0.9,0.0456852791878173,25,1.26606683804627,0.833333333333333,0.0423011844331641
"33",33,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"encerra2=0",26,1.37626511419615,0.896551724137931,0.0439932318104907,25,1.26606683804627,0.833333333333333,0.0423011844331641
"34",34,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",57,1.18241488241488,0.77027027027027,0.0964467005076142,49,1.20072145285679,0.790322580645161,0.0829103214890017
"35",35,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",26,1.37626511419615,0.896551724137931,0.0439932318104907,24,1.25733534261147,0.827586206896552,0.0406091370558376
"36",36,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",57,1.18241488241488,0.77027027027027,0.0964467005076142,49,1.20072145285679,0.790322580645161,0.0829103214890017
"37",37,1,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"encerra2=0",26,1.37626511419615,0.896551724137931,0.0439932318104907,24,1.25733534261147,0.827586206896552,0.0406091370558376
